#synset	COW
02716626-n	反弹道飞弹
06187154-n	反律法主义
09797257-n	反律法主义者
07503987-n	反感
01245138-a	反感的
01293542-a	反感的
00799125-n	反战争运动
00799125-n	反战运动
00345297-n	反手掌姿势
00956568-a	反托拉斯+的
01116585-v	反抗
02583958-v	反抗
00962129-n	反抗
02583780-v	反抗
02583545-v	反抗
02330935-a	反抗+的
02331088-a	反抗+的
02036498-v	反折
02313563-a	反折
13501941-n	反折
00345297-n	反掌
00345297-n	反掌姿势
00790086-n	反接管防御
00790086-n	反收购防御
14424384-n	反改革
00007990-a	反斥+的
14521021-n	反旋风
00442057-a	反时针+的
00442057-a	反时针方向+的
02136892-v	反映
02766925-v	反映
02872776-a	反映多种文化+的
00400192-r	反映现实+地
02461438-a	反映现实的
14531598-n	反曲
02841534-a	反曲+的
03156990-n	反曲线脚
06659685-n	反歧视行动
14521021-n	反气旋
02629942-a	反气旋+的
02605621-a	反污染+的
14840342-n	反油酸
02514239-a	反派+的
14336004-n	反流
05665421-n	反混淆
02724722-n	反潜导弹
02724722-n	反潜艇火箭
02136754-v	反照
13820432-n	反照率
14582535-n	反物质
06203956-n	反犹太主义
03043482-a	反犹太人+的
09797742-n	反犹者
03582959-n	反用换流器
07101250-n	反用法
13980288-n	反目
01944904-a	反直观的
01944904-a	反直觉的
03582959-n	反相器
00440009-r	反省+地
01470141-a	反磁性+的
02711599-a	反磁性+的
02799173-a	反社会+的
02249948-a	反社会的
02605281-a	反种族隔离+的
09199904-n	反粒子
02927803-a	反美+的
14062565-n	反胃
07502099-n	反英
02623776-a	反英+的
09794320-n	反英份子
10172942-n	反英雄
13318024-n	反补贴关税
13318024-n	反补贴税
06533039-n	反诈骗腐败组织集团犯罪法
00787049-v	反诘
06777164-n	反话
06777164-n	反语
00382507-r	反语+地
07101250-n	反语法
09200193-n	反质子
02049696-v	反超
14332448-n	反跳痛
14984799-n	反转录酶
09199341-n	反轻子
09200419-n	反轻子
13466849-n	反通货膨胀
09199219-n	反重子
11479640-n	反铁磁性
02605509-a	反铁磁性+的
03231819-n	反铲
02769290-n	反铲挖土机
09970192-n	反间谍
13858270-n	反面
13858604-n	反面
02514239-a	反面+的
13932213-n	反面乌托邦
02498507-a	反面乌托邦+的
03020075-a	反面乌托邦+的
13932213-n	反面假想国
03020075-a	反面假想国+的
13520731-n	反面回馈
02015403-a	反革命+的
06746471-n	反馈
13479380-n	反馈
03326073-n	反馈电路
00869126-v	反驳
00578234-a	反驳+的
02136019-v	发丁丁声
02180262-v	发丁丁声
02181174-v	发丁当声
02178866-v	发丁当声
02186690-v	发丁当声
02734140-v	发乳光
02765231-v	发乳光
02734140-v	发乳白光
02765231-v	发乳白光
02733453-v	发亮
02764122-v	发亮
02763740-v	发亮
02306598-a	发人深思的
02120150-a	发人深省+的
02187041-v	发低哼声
14082788-n	发作
14081941-n	发作
02852128-a	发作+的
03101415-a	发作后+的
02774804-a	发作性+的
14307468-n	发作性嗜睡病
02162947-v	发光
02733453-v	发光
02759443-v	发光
02764122-v	发光
02764765-v	发光
02768874-v	发光
11463544-n	发光
02767116-v	发光
02161530-v	发光
02160552-v	发光
02160944-v	发光
02763740-v	发光
03666362-n	发光二极管
14687513-n	发光体
13640050-n	发光强度单位
14340462-n	发冷
01251958-a	发冷+的
02766223-v	发冷光
02767308-v	发出
02767760-v	发出
02631005-v	发出
02768259-v	发出
00983824-v	发出
00004605-v	发出
02562901-v	发出
02010831-a	发出丁当响+的
02172683-v	发出丁当声
02186690-v	发出丁当声
02734140-v	发出乳白色光
02765231-v	发出乳白色光
02172683-v	发出刺耳声
01308160-v	发出刺耳的摩擦声
00424724-r	发出劈劈啪啪声地
02181174-v	发出叮咚声
02174115-v	发出叮当声
02176268-v	发出响声
02187171-v	发出哔哔声
02172127-v	发出哗啦声
02185187-v	发出嗒嗒声
02188587-v	发出嗖嗖声
02188587-v	发出嗡嗡声
02172888-v	发出嘈杂声
02179372-v	发出嘎嘎声
02003480-v	发出嘘声赶
02069120-v	发出嘶嘶声
02069014-v	发出嘶嘶声
02176268-v	发出噪音
02183024-v	发出噼啪声
02088949-v	发出噼啪声
02182851-v	发出噼啪声
02010536-a	发出回声+的
02176268-v	发出声音
02179518-v	发出声音
02177846-v	发出尖锐声
02733928-v	发出彩光的
02124106-v	发出恶臭
00426140-r	发出扑通声
02089082-v	发出拍击声
02123672-v	发出气味
02184965-v	发出沉闷声
02182662-v	发出沙沙声
02186868-v	发出溅水声
02179279-v	发出溅落声
02175578-v	发出滴答声
02185664-v	发出滴答声
02766687-v	发出火星
02767116-v	发出热量
02178866-v	发出爆声
02185988-v	发出爆裂声
02186192-v	发出爆裂声
02182851-v	发出爆裂声
02183024-v	发出爆裂声
00309582-v	发出砰的一声
02100176-v	发出砰的一声
02172127-v	发出碰撞声
02632035-v	发出磷光
00796839-v	发出禁令
02124106-v	发出臭味
02179372-v	发出轧轧声
02181281-v	发出铃声
02766687-v	发出闪光
02174662-v	发出隆隆声
02770535-v	发出隆隆声
03475581-n	发刷
01308160-v	发刺耳声地摩擦
02183175-v	发刺耳的响声
02175384-v	发劈啪声
02186360-v	发劈啪声
02358327-v	发动
02376089-v	发动
02584661-v	发动暴乱
03789946-n	发动机
03287733-n	发动机
03532187-n	发动机罩装饰物
02402695-v	发动革命
03476313-n	发卡
02860640-n	发卡
02136019-v	发叮叮声
02180262-v	发叮叮声
02186506-v	发叮当声
02010266-a	发叮当声+的
13483190-n	发叶
02601271-v	发号施令
07510625-n	发呆
00976653-v	发告示
01054027-v	发咝擦音
02135607-v	发响声
03549097-n	发响声的陀螺
02172127-v	发哐啷声
02188198-v	发嗖嗖声
02182109-v	发嗡嗡声
02183626-v	发嘘嘘声
02184503-v	发嘡嘡声
02179372-v	发噗嗤声
05257593-n	发型
02135607-v	发声
14402377-n	发声困难
11454591-n	发大水
02796318-n	发夹
03476313-n	发夹
03476684-n	发夹
13474290-n	发射
02768259-v	发射
01514655-v	发射
01133825-v	发射
00122661-n	发射
02683419-a	发射+的
03647691-n	发射台
03274796-n	发射极
14852450-n	发射物
03647691-n	发射站
14691822-n	发射药
02561168-v	发展
13490343-n	发展
13464820-n	发展
13543968-n	发展
14422871-n	发展
02945820-a	发展+的
00003553-a	发展中+的
13477023-n	发展史
02627363-v	发展成
06197215-n	发展方向
15291416-n	发展期
13941806-n	发展水平
15291416-n	发展阶段
00967625-v	发布
02173838-v	发弦声
02765090-v	发强光
02174311-v	发当啷声
02184965-v	发得得声
02162947-v	发微光
02160779-v	发微光
01787106-v	发怒
02722902-v	发怒
07516354-n	发怒
14036539-n	发怒
00359095-r	发怒+地
00382402-r	发怒+地
00113818-a	发怒+的
02124106-v	发恶臭
02724705-v	发情
14038264-n	发情
02137806-a	发情期+的
00645856-a	发愣的
01054027-v	发成咝擦音
14005137-n	发抖
00348801-n	发抖
01888511-v	发抖
02304322-a	发抖+的
02305394-a	发抖+的
02173838-v	发拨弦声
02173967-v	发拨弦声
02371811-v	发挥
02143539-v	发掘
02286550-v	发掘
02457058-v	发掘
08550076-n	发掘
02768579-v	发放出蒸汽
02066757-v	发散
02732603-v	发散
03215337-n	发散透镜
05633385-n	发明
00908492-n	发明
03582658-n	发明
00381776-r	发明+地
02420390-a	发明+的
03582658-n	发明物
03183080-n	发明物
02115430-v	发昏
00023646-v	发晕
04288272-n	发条
03047171-n	发条装置
13535261-n	发汗
03188979-n	发汗剂
03188979-n	发汗药
02178186-v	发汩汩声
02187922-v	发汩汩声
01815471-v	发泄
02276305-a	发泡+的
02754463-v	发源
00378479-n	发火
15000149-n	发火合金
03560860-n	发火线圈
02766687-v	发火花
14531392-n	发炎
14336539-n	发炎
01173697-a	发炎+的
14853647-n	发炎性分泌物
14336169-n	发烧
14365356-n	发烧
02544892-a	发烧+的
02726715-a	发烧+的
02161530-v	发热
02768874-v	发热
14365356-n	发热
02121048-v	发热
02726715-a	发热+的
03508628-n	发热元件
02246456-v	发牌
00907147-v	发牢骚
14391876-n	发狂
02075321-a	发狂+的
02074929-a	发狂+的
02075847-a	发狂+的
02076416-a	发狂+的
00395190-r	发狂+的
02125460-v	发现
02154312-v	发现
05808218-n	发现
02285629-v	发现
02154508-v	发现
02128066-v	发现
01637982-v	发现
02197781-v	发现
01113367-v	发球得分
00345000-v	发生
00348103-v	发生
02623529-v	发生
13487207-n	发生
00339934-v	发生
13959069-n	发生
02749904-v	发生
02600082-v	发生
02612368-v	发生
02624263-v	发生
02691489-v	发生于其间
03434188-n	发生器
01255022-a	发生在夏季的
02828482-a	发生在对话中+的
02378950-v	发生意外
02124886-a	发生故障+的
14862481-n	发生炉煤气
13826959-n	发生频率
02826877-a	发电+的
00790965-v	发电报
03260504-n	发电机
03433877-n	发电机
02074929-a	发疯+的
02075321-a	发疯+的
00379774-v	发疱
00422899-v	发疹
13533349-n	发病
13827103-n	发病率
02121188-v	发痒
12550788-n	发痒黧豆
00408992-a	发白+的
00392460-a	发白+的
02162672-v	发眩光
02765090-v	发眩光
00426140-r	发砰砰声
06520222-n	发票
02609614-v	发端
00031820-v	发笑
03476313-n	发簪
02550891-a	发粘+的
02768874-v	发红
02161530-v	发红
02317094-v	发给
02262601-v	发给养老金
02447692-v	发给特许执照
02262139-v	发给证明书
02262601-v	发给退休金
03475961-n	发网
13490343-n	发育
13489037-n	发育
14045954-n	发育不全
13428308-n	发育不全
14023901-n	发育不全
14369064-n	发育不全
02899383-a	发育不全+的
14508799-n	发育不完全
14045954-n	发育不良
14365950-n	发育不良
02715567-a	发育不良+的
02715567-a	发育异常+的
02786006-a	发育期+的
00383798-r	发育未全+地
00429700-r	发育过早+地
03476991-n	发胶
14406303-n	发脾气
02743343-v	发自
00378804-r	发自内心+地
02124332-v	发臭
02124106-v	发臭
02124106-v	发臭味
02124106-v	发臭气
14671253-n	发色团
14808147-n	发色团
00345652-v	发芽
13487207-n	发芽
00357332-v	发芽
00357998-v	发芽
13544073-n	发芽
02733782-a	发芽+的
02733782-a	发芽生殖+的
02161160-v	发荧光
00403505-a	发荧光+的
13439935-n	发蓝处理
02253456-v	发薪
15172782-n	发薪日
13311573-n	发薪时扣除制
00425967-v	发行
00967625-v	发行
13592384-n	发行量
00967625-v	发表
02197781-v	发觉
02106506-v	发觉
02117955-v	发觉
01637982-v	发觉
02128066-v	发觉
02154508-v	发觉
05808218-n	发觉
06765044-n	发言
10638310-n	发言人
14485526-n	发言权
09811712-n	发言者
00884540-v	发誓
01013040-v	发誓
00798717-v	发誓抛弃
02227487-v	发誓放弃
00798717-v	发誓放弃
02279315-v	发财
02290029-v	发财
14484378-n	发财的机会
02743343-v	发车
15181094-n	发车时间
02179372-v	发轧轧声
01031256-v	发送
01955127-v	发送
02109448-a	发送+的
01983134-v	发酵
13575433-n	发酵
03000447-a	发酵+的
13575433-n	发酵作用
02726345-a	发酵性+的
14775995-n	发酵粉
14772461-n	发酵粉
02174461-v	发铿锵声
02174115-v	发铿锵声
02174311-v	发铿锵声
02174115-v	发铿锵声
02246908-v	发错牌
02763450-v	发闪烁之光
02770535-v	发隆隆声
02174662-v	发隆隆声
02187320-v	发隆隆声
02187510-v	发隆隆声
13516176-n	发霉
07131854-n	发音
00978369-v	发音
14400507-n	发音不能
14402015-n	发音困难
02993853-a	发音相同+的
05202284-n	发音能力
02188587-v	发飕飕声
02550891-a	发黏+的
10736091-n	叔伯
10736091-n	叔叔
09823502-n	叔母
10736091-n	叔父
02406449-v	取代
02699497-v	取代
13467224-n	取代
02257767-v	取代
02394662-v	取代
02405390-v	取代
02711987-v	取决于
02664234-v	取决于
01351170-v	取出
02311387-v	取出
02404904-v	取出
00392950-n	取出
01995211-v	取出
00396213-n	取出储蓄
01028748-v	取名
02247977-v	取回
02276322-v	取回
02304013-v	取回
02311387-v	取回
02312478-v	取回
02247390-v	取得
02355596-v	取得
02292125-v	取得
02288295-v	取得
02210855-v	取得
02210119-v	取得
02206014-v	取得
02526085-v	取得
02238770-v	取得
02292004-v	取得成功
02137205-a	取掉卵巢+的
03340723-n	取景器
13491876-n	取暖
03508101-n	取暖器
15282032-n	取样率
02480216-v	取消
14564056-n	取消
02478584-v	取消
02478059-v	取消
02477334-v	取消
02427334-v	取消
00800460-v	取消
00799798-v	取消
02477755-v	取消
00425905-n	取笑
00850501-v	取笑
00852506-v	取笑
00347860-r	取笑+地
01995596-a	取笑+的
00418921-v	取缔
00796392-v	取缔
02493666-v	取缔
02334854-a	取胜无望+的
03127718-a	取自尿中+的
13842841-n	取食共生
00668099-v	受
02435671-a	受不了+的
06332136-n	受事
01462046-a	受人钦佩+的
00069879-v	受伤
14583843-n	受体
01884930-a	受保护+的
02526611-a	受保护+的
10767020-n	受保护者
09769345-n	受信人
02848388-a	受信托+的
10732314-n	受信托人
14026592-n	受催眠的状态
14413644-n	受冷遇
09789566-n	受切断手术的人
02108654-v	受到
02739480-v	受到
02110082-v	受到
02729260-v	受到
01983432-a	受到尊敬+的
02720904-v	受到影响
02458262-a	受到折磨+的
02720904-v	受到控制
02000118-a	受到控制+的
02114483-a	受到污染+的
00426608-a	受到污染的
00438752-v	受到阻滞
02521758-a	受到驱策+的
02110927-v	受制于
00789988-a	受妻子管制的
14046202-n	受孕
10752093-n	受害人
09899782-n	受害者
10752093-n	受害者
02661314-a	受封+的
01982957-a	受尊敬+的
02054610-a	受崇敬+的
02526611-a	受庇护+的
02251899-a	受忽视+的
02458046-a	受恶梦惊扰+的
09850121-n	受惠者
02282651-a	受感情驱使+的
10732314-n	受托人
01018264-a	受折磨+的
02524900-a	受抨击+的
13935227-n	受排斥
02004685-a	受控制+的
02524900-a	受攻击+的
02456530-a	受暴风雨戏弄+的
02543023-v	受某人指挥
02733806-v	受欢迎
02527588-a	受欢迎+的
01815838-a	受欢迎+的
02539968-a	受欢迎+的
03643253-n	受激辐射式光频放大器
02527588-a	受爱戴+的
13932421-n	受理
08330106-n	受理上诉的法院
02542148-a	受疾病折磨+的
02121511-v	受痛苦
02661314-a	受益+的
09850121-n	受益人
13295183-n	受益人年金
10767020-n	受监护人
02054075-a	受祝福+的
02054216-a	受祝福+的
00844847-n	受精
02882275-a	受精卵+的
03329880-n	受精药
01064806-a	受约束+的
02371495-a	受约束+的
02116934-a	受细菌感染+的
02329765-a	受统治+的
02500397-v	受罚
02500489-v	受罚
00844847-n	受胎
02458871-a	受苦+的
02057681-a	受虐狂+的
01959807-a	受规律制约的
13267816-n	受训者津贴
13267816-n	受训者的津贴
09792125-n	受诅咒的对象
03261776-n	受话器
02474958-v	受诫礼
02500489-v	受责备
01949059-a	受过良好教育的
02526925-a	受通缉+的
14507951-n	受阻
02002227-a	受限+的
02000118-a	受限制+的
02002470-a	受限制+的
02002227-a	受限制+的
13924069-n	受限制性
13968092-n	受雇
02537642-v	受骗
00123170-v	变
00403466-n	变丑
01661804-v	变为平地
01961048-a	变了形的
02759443-v	变亮
02602212-v	变从容
13467009-n	变位
13804085-n	变位
14504726-n	变位
02068277-a	变体的
00418563-v	变僵直
14379017-n	变兽妄想
00369864-v	变冷
00369864-v	变凉
00370126-v	变凉
07337390-n	变动
00398704-n	变化
02727039-v	变化
00382635-v	变化
00123170-v	变化
02662297-v	变化
04751305-n	变化
07296428-n	变化
07337390-n	变化
13932739-n	变化
14575180-n	变化
00352716-a	变化+的
02235740-a	变化+的
02507515-a	变化+的
00346103-a	变化+的
02987332-a	变化+的
00354433-a	变化了的
05840650-n	变化了的形式
02505141-a	变化多端+的
02507515-a	变化无常+的
02504131-a	变化无常+的
02505141-a	变化无常+的
02505617-a	变化无常+的
00381850-v	变化电流
02256589-v	变卖
02354922-v	变卖
02244603-v	变卖为现金
00381850-v	变压
00431117-v	变厚
00357906-n	变厚
12922763-n	变叶木
12923652-n	变叶木
12923439-n	变叶木属
03567635-n	变址寄存器
00203866-v	变坏
00208497-v	变坏
02565911-v	变坏
13560417-n	变坏
13464204-n	变坏
03778302-n	变型
00400883-v	变复杂
00402539-v	变复杂
02179167-a	变复杂+的
01990562-v	变大
00205885-v	变好
00402308-n	变容
00399717-n	变容
00303661-v	变宽
00540235-v	变宽
00433933-v	变小
07355887-n	变小
13457378-n	变小
00433778-v	变小
00392314-v	变尖锐
02553137-a	变干+的
00356649-v	变平
13504403-n	变年轻
00345189-a	变幻无常+的
06046245-n	变应性学
00384055-v	变异
02068277-a	变异+的
02987454-a	变异+的
02987454-a	变异所引起+的
05840650-n	变异的东西
02740204-v	变弱
02326621-a	变弱+的
00882166-a	变弱+的
00382635-v	变形
00383542-v	变形
00404403-n	变形
00399030-n	变形
00399717-n	变形
13514880-n	变形
00402308-n	变形
00399846-n	变形
00398704-n	变形
00381601-v	变形
13867276-n	变形
00383542-v	变形
00354934-a	变形+的
02141298-a	变形+的
02954143-a	变形+的
02620992-a	变形+的
02620863-a	变形+的
13517385-n	变形再生
02708885-n	变形影像
02708885-n	变形影象
01392380-n	变形虫
01391569-n	变形虫目
00419137-v	变得不紧
00391971-v	变得不鲜明
00538323-v	变得单调
00400883-v	变得复杂
00955601-v	变得复杂
02041577-v	变得多云
00391971-v	变得无光泽
02667419-v	变得时髦
00391971-v	变得昏暗
00203866-v	变得更坏
00419137-v	变得更松
00420549-v	变得更紧
02758826-v	变得极冷
02740204-v	变得软弱无力
02602212-v	变得轻松
00370263-v	变得过热
00372501-v	变得过热
13514880-n	变态
14572074-n	变性
14710024-n	变性剂
15034454-n	变性毒素
14307724-n	变性肾炎
14710164-n	变性酒精
00440580-v	变慢
02621395-v	变成
02623529-v	变成
02626604-v	变成
02674708-v	变成
02335363-v	变成为光滑
02158034-v	变成朦胧
00383437-v	变成灰烬
02627221-v	变成碳酸盐
00382410-v	变成金色
00383542-v	变换
00399223-n	变换
00400083-n	变换
13593438-n	变换因数
05857459-n	变数
02771169-v	变明亮
02771169-v	变晴
00373250-v	变暖和
02529859-a	变暖的
00399393-n	变更
00352127-a	变更+的
00418563-v	变更硬
02771888-v	变朦胧
00419137-v	变松
00421408-v	变松弛
02190632-v	变柔和
02190632-v	变柔软
13804203-n	变格
02158034-v	变模糊
02771888-v	变模糊
02117534-v	变活跃
03172038-n	变流装置
00391833-v	变浑浊
00431117-v	变浓
00431610-v	变浓
00389238-v	变消瘦
00430625-v	变淡
00226071-v	变淡
02533075-a	变温+的
00388477-a	变灰白+的
02244603-v	变现
02195470-v	变甜
02338197-a	变甜+的
00404961-a	变白+的
00393422-a	变白+的
14673669-n	变白云母
01982044-v	变直
13314085-n	变相的税
02452614-v	变矮小
02696306-v	变矮小
14715679-n	变石
00418563-v	变硬
00417596-v	变硬
05840650-n	变种
07425011-n	变种
08111157-n	变种
00430494-v	变稀疏
00430494-v	变稀薄
13518563-n	变窄
02562368-a	变窄+的
00420549-v	变紧
00419950-v	变紧
00103317-v	变红
00421408-v	变缓慢
00248512-v	变老
01644709-a	变老+的
02190077-v	变聋
02189940-v	变聋
14498096-n	变脏
00420480-a	变脏的
00399553-v	变腐烂
02345600-n	变色旅鼠
02345774-n	变色旅鼠
02345471-n	变色旅鼠属
02695389-a	变色病+的
01682714-n	变色蜥
01682714-n	变色蜥蜴
01682588-n	变色蜥蜴属
02412939-v	变节
02584475-v	变节
00757856-v	变节
02725286-v	变萧条
00430625-v	变薄
00430999-v	变薄
02740204-v	变衰弱
02326621-a	变衰弱+的
00380872-v	变调演奏
12943302-n	变豆菜属
00399717-n	变貌
00402308-n	变貌
00402128-n	变质
13464204-n	变质
14561327-n	变质
13514648-n	变质
02626934-v	变质
00402128-n	变质
00402308-n	变质
02951869-a	变质+的
13514648-n	变质作用
14698698-n	变质岩
13557766-n	变软
14033917-n	变迁
02944694-a	变迁+的
00391672-v	变迟钝
03431570-n	变速器
03432129-n	变速器
04472243-n	变速器
13559409-n	变酸
02196690-v	变酸
02369763-a	变酸+的
05857459-n	变量
00392314-v	变锋利
00361388-v	变阴
02771020-v	变阴暗
00962722-n	变革
13528750-n	变骨
13528852-n	变骨
13529015-n	变骨
02234187-a	变黑+的
03015589-a	叙事诗+的
03016519-a	叙利亚+的
03016519-a	叙利亚人+的
03016519-a	叙利亚文化+的
02132466-n	叙利亚棕熊
00953216-v	叙说
02721284-v	叙述
07173585-n	叙述
00953216-v	叙述
07221094-n	叙述
00962129-n	叛乱
02919100-a	叛乱+的
02584097-v	叛变
02583958-v	叛变
00782072-n	叛国罪
10210137-n	叛徒
00757856-v	叛教
00435853-v	叠
02349149-a	叠加+的
13563382-n	叠合
02217241-a	叠成两部分+的
14770400-n	叠氨酸盐
14770248-n	叠氮化物
02655723-a	叠氮化物+的
02765429-n	叠氮胸苷
14621194-n	叠氮自由基
14612764-n	叠氮酸
14700280-n	叠瓦构造
02241078-a	叠瓦状+的
02689008-v	叠盖
05302499-n	口
02771485-a	口+的
01665184-a	口+的
02117170-v	口交
06674188-n	口令
01665816-a	口侧+的
14211985-n	口内炎
00425588-a	口出恶言的
01665184-a	口区+的
07152259-n	口号
14402922-n	口吃
02452637-n	口吻
02771740-a	口咽+的
02284169-a	口头+的
02284324-a	口头+的
02284423-a	口头表达+的
02283703-a	口头讲+的
02825355-a	口头讲+的
01270004-a	口干+的
00420827-r	口才好+地
00626890-v	口授
03192543-n	口授留声机
03192543-n	口授留声机
01223271-a	口是心非+的
03174991-n	口服避孕药
03936895-n	口服避孕药
02122060-v	口渴
14040660-n	口渴
01270004-a	口渴
14400979-n	口炎性腹泻
03494278-n	口琴
14211985-n	口疮
14211985-n	口疮性溃疡
03357376-n	口盖
03676483-n	口红
02511510-n	口缘
03725035-n	口罩
02513805-n	口育鱼
01989869-n	口脚类动物
05302499-n	口腔
02671795-a	口腔+的
02785647-a	口腔修复学+的
14538329-n	口腔干燥
14182568-n	口腔念珠菌病
14211985-n	口腔溃疡
14356044-n	口腔炎
14132375-n	口腔疱疹
14251845-n	口腔癌
14842019-n	口臭
13016749-n	口蘑属
13016457-n	口蘑科
03972524-n	口袋
07184149-n	口角
00959827-v	口译
02825355-a	口语+的
02283703-a	口语+的
01989701-n	口足目
01989869-n	口足目动物
14264664-n	口蹄疫
14264664-n	口蹄病
00626890-v	口述
03192543-n	口述录音机
05546040-n	口部
01665184-a	口部+的
02452637-n	口鼻部
14402763-n	口齿不清
00392174-r	口齿不清+地
00005210-r	古代
15253139-n	古代
01638962-a	古代+的
01639230-a	古代+的
01728614-a	古代+的
07943646-n	古代人
02938236-a	古代北欧文字+的
02761569-a	古代印度语+的
06514529-n	古代史
06977434-n	古代希腊语
02724026-n	古代的遗物
09203677-n	古代的遗物
03017468-a	古代皮奥夏国+的
13389194-n	古代罗马金币
07073447-n	古体
06461609-n	古兰经
00413622-a	古典+的
02919986-a	古典主义+的
03015805-a	古典希腊+的
02743750-a	古典文化+的
02723754-n	古器
03727067-n	古埃及墓室
02776813-a	古埃及法老王+的
02922292-n	古墓
02969591-a	古巴+的
03144262-n	古巴式鞋后跟
13691909-n	古巴货币单位
06977434-n	古希腊文
02684962-n	古希腊的集市
06977434-n	古希腊语
00437381-r	古怪+地
02123118-a	古怪+的
01936778-a	古怪+的
02074929-a	古怪+的
02077904-a	古怪+的
02545023-a	古怪+的
02571536-a	古怪+的
00415496-r	古怪地
13598408-n	古戈尔
13598556-n	古戈尔普勒克斯
03467887-n	古拉格
03043838-a	古文物+的
02793793-a	古斯基台+的
12690046-n	古柯
12690240-n	古柯
11768242-n	古柯叶
03060074-n	古柯叶
12689808-n	古柯属
03060294-n	古柯碱
12689641-n	古柯科
02579928-n	古氏鲳鲹
12840749-n	古牛草
12852234-n	古牛草
12863234-n	古牛草
02724026-n	古物
01639446-a	古物
02723754-n	古物
09797606-n	古物研究者
03043937-a	古物研究者+的
02722901-a	古犹太的禁欲+的
02723754-n	古玩
03628215-n	古琴
02772654-a	古生物学+的
03072828-n	古罗马的圆形大剧场
02922086-a	古罗马风格+的
01639230-a	古老+的
01644847-a	古老+的
01638962-a	古老+的
00817731-a	古老+的
01728614-a	古老+的
01639446-a	古董
02723754-n	古董
07073447-n	古语
03038870-n	古钢琴
00371945-a	古铜色+的
00436409-r	古雅+地
02638740-a	古风+的
14824702-n	古马隆树脂
01517389-n	古鸟
01515811-n	古鸟亚纲
03071021-n	古龙水
06285090-n	句
06843520-n	句号
06285090-n	句子
02991690-a	句子+的
02808653-a	句段+的
02880557-a	句法+的
02880557-a	句法规则+的
06843520-n	句点
00390198-n	句读
02070188-a	另
02070188-a	另一+的
02069355-a	另外+的
02071301-a	另外+的
03139363-a	另外+的
02176261-n	叩头虫
02176439-n	叩头虫
02176611-n	叩头虫属
02176073-n	叩头虫科
00004722-r	只不过
03067810-n	只供应冷水的公寓
00004722-r	只是
00004722-r	只有
03086002-a	只注重智力成就的
02354234-a	只用耳朵的
03039556-a	只结一次果+的
02517002-a	只能在望远镜中看见+的
02988679-n	只读存储光盘
02988679-n	只读存储器
00913065-v	叫
01028748-v	叫
02302817-v	叫卖
00912833-v	叫喊
00913065-v	叫喊
07120524-n	叫喊
00791506-v	叫回
07120524-n	叫声
03767745-n	叫拜楼
02729632-v	叫板
02300866-v	叫牌过低
00912833-v	叫着说
01860337-n	叫鸭科
02014524-n	叫鹤
02014237-n	叫鹤
02014406-n	叫鹤属
02014061-n	叫鹤属
02013889-n	叫鹤科
00792471-v	召唤
02480216-v	召回
00791506-v	召回
02312478-v	召回
02675458-v	召回
00792011-v	召来
00793271-v	召集
00789448-v	召集
00793037-v	召集
02429475-v	召集
02429810-v	召集
02085272-n	叭儿狗
02108672-n	叭喇狗
02093056-n	叭喇狗
02181174-v	叮
14297870-n	叮
01445407-v	叮
02186506-v	叮当作响
02186506-v	叮当响
02010266-a	叮当响+的
02009880-a	叮当响+的
02010831-a	叮当响+的
02010266-a	叮玲响+的
02083391-a	可上升+的
00430520-r	可上场面+地
01963688-a	可主张的
03048412-n	可乐宁
03048412-n	可乐定
00533452-a	可了解+的
00602117-a	可争论+的
01978532-a	可互换+的
02372697-a	可互换+的
03778817-n	可互换标准件
02710438-a	可交付+的
00379971-r	可交换+地
00348198-a	可交换+的
01978532-a	可交换+的
01978532-a	可交替+的
02381613-a	可代换+的
01978395-a	可代替+的
00348198-a	可代替+的
00001740-a	可以+的
02096923-a	可以保险+的
02496425-a	可以再度使用+的
02497013-a	可以利用+的
00797113-a	可以喝+的
02587083-a	可以引用+的
02806261-a	可以忍受+的
02502994-a	可以忽略+的
02081114-a	可以接受+的
00398204-r	可以测定的程度
00533452-a	可以理解+的
00503982-a	可以相比+的
02517169-a	可以看见+的
00361217-r	可以确认+地
05830832-n	可以补救的损害
00348537-a	可以被转变+的
02266451-a	可以解+的
02266451-a	可以解决+的
02266145-a	可以解决+的
02266145-a	可以解答+的
00851744-a	可以选+的
02586446-a	可仿效+的
01815540-a	可估价+的
02400471-a	可估价+的
02400724-a	可估价+的
00624416-a	可估计的
00624416-a	可估量的
02144436-a	可伸长+的
01822563-a	可使用+的
02124253-a	可使用的
01853934-a	可供选择+的
13287540-n	可保权益
02075594-a	可保证+的
02096923-a	可保险+的
13287540-n	可保险产权
01997748-a	可信+的
02465115-a	可信+的
02465519-a	可信任+的
00724081-a	可信任+的
02301969-a	可信任+的
02464693-a	可信任+的
04782878-n	可信性
02273643-a	可信赖+的
01997748-a	可信赖+的
02464693-a	可信赖+的
02465115-a	可信赖+的
02465350-a	可信赖+的
02465519-a	可信赖+的
00724081-a	可信赖+的
00350069-a	可修改+的
00346246-a	可修整+的
00350069-a	可修正+的
01963509-a	可修理的
01963509-a	可修缮+的
01962631-a	可修补的
01963509-a	可修补的
00346246-a	可修订+的
02595255-a	可倒置+的
02595255-a	可倒转+的
01822563-a	可做
02586446-a	可做模范+的
02287878-a	可停止+的
01956229-a	可偿还+的
01762257-a	可允许+的
02848118-n	可充气的囊袋
02356820-a	可克服+的
